Type,Option_expiry,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y,50Y
Beta,10Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,15Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,20Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,30Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,5Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,7Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,9M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Forward,10Y,2.73270766,2.735851604,2.759683559,2.770658686,2.800733111,2.805733628,2.799769291,2.798518843,2.794629143,2.765571674,2.731743513,2.697735944,2.671462807,2.653172403
Forward,15Y,2.745116325,2.742033635,2.78226107,2.79234068,2.795120939,2.79513903,2.78884495,2.77216592,2.745215744,2.703258326,2.663977727,2.635728827,2.627305608,2.624256103
Forward,1D,1.561711474,1.643005166,1.737452756,1.883433665,2.060063211,2.155619976,2.26604402,2.345456895,2.444243788,2.549446916,2.599291909,2.614452282,2.613134258,2.593894687
Forward,1M,1.566361244,1.679972815,1.779965558,1.926593798,2.089900969,2.177813947,2.281386288,2.358069417,2.454511645,2.556814863,2.604981791,2.618919156,2.616853781,2.59663857
Forward,1W,1.559876358,1.650249151,1.748991096,1.893086296,2.064035488,2.158672795,2.266940634,2.346391767,2.445133479,2.549156131,2.598654611,2.61335289,2.611763984,2.592427717
Forward,1Y,2.130978311,2.129004664,2.189154168,2.240165988,2.295920316,2.33524151,2.396563046,2.457747356,2.536488286,2.615721865,2.649627872,2.653697044,2.645485642,2.618238553
Forward,1Y6M,2.115558219,2.284589088,2.291137124,2.316227325,2.34700786,2.378586291,2.435950717,2.493374093,2.568326041,2.637406638,2.665243919,2.665597295,2.654601944,2.625433679
Forward,20Y,2.67907865,2.703587448,2.738298033,2.739262431,2.726832637,2.717643342,2.696154346,2.678817286,2.652509265,2.611949936,2.585348699,2.582555637,2.587592255,2.59349394
Forward,2M,1.44083669,1.702713445,1.827713673,1.967215669,2.117715538,2.197356793,2.29529375,2.369823651,2.46377355,2.56354542,2.610180405,2.623052537,2.620287417,2.599208887
Forward,2Y,2.281549406,2.319317013,2.341840991,2.353413519,2.384741333,2.410989425,2.468428069,2.524733551,2.596729546,2.656055148,2.678064033,2.674929655,2.661612667,2.63113952
Forward,30Y,2.454690298,2.538008313,2.55650137,2.55169289,2.539216422,2.529846855,2.516108764,2.504986917,2.501628114,2.521276397,2.542633225,2.55549958,2.562443193,2.570425069
Forward,3M,1.643599463,1.822928889,1.905798465,2.003287496,2.144554245,2.214944238,2.307595983,2.380003989,2.472767768,2.569660953,2.61496366,2.626871301,2.62366595,2.601745889
Forward,3Y,2.33513386,2.348845446,2.392631871,2.416738747,2.440708321,2.467864934,2.527724621,2.582035612,2.643818,2.687891111,2.699323463,2.689793304,2.672409537,2.640430159
Forward,5Y,2.46050771,2.457634255,2.499793364,2.522866842,2.559062185,2.588700561,2.642833198,2.685295236,2.716678314,2.737963676,2.729282509,2.709582405,2.685741841,2.653674893
Forward,6M,1.750756071,1.980615261,2.027154458,2.107761083,2.211085624,2.265625093,2.343784288,2.410917466,2.497509557,2.587655161,2.628683456,2.637616767,2.632521939,2.608365775
Forward,7Y,2.606558681,2.585780782,2.629327821,2.650244144,2.676954134,2.702191555,2.740328491,2.757151117,2.767228874,2.765730181,2.743302947,2.715520463,2.68770219,2.659294352
Forward,9M,1.967745639,2.064517766,2.101696431,2.184717484,2.259489157,2.304519313,2.372564623,2.436096882,2.51819396,2.602641834,2.639924416,2.646274582,2.639534909,2.613648095
Normal_ATM_vol,10Y,35.975,34.755,34.71,34.1,33.705,33.65,33.215,32.635,31.755,29.445,28.22,27.94,27.685,27.685
Normal_ATM_vol,15Y,33.66,32.52,32.48,30.635,30.245,30.185,29.58,29.08,28.27,26.485,25.585,25.385,25.21,25.21
Normal_ATM_vol,1D,10.685,10.32,10.31,12.845,18.245,21.28,24.845,25.665,26.3,26.44,26.81,27.135,27.365,27.365
Normal_ATM_vol,1M,10.685,10.32,10.31,12.845,18.245,21.28,24.845,25.665,26.3,26.44,26.81,27.135,27.365,27.365
Normal_ATM_vol,1W,10.685,10.32,10.31,12.845,18.245,21.28,24.845,25.665,26.3,26.44,26.81,27.135,27.365,27.365
Normal_ATM_vol,1Y,18.42,17.795,17.775,21.32,25.06,27.055,28.78,29.315,29.62,29.165,28.93,28.67,28.54,28.54
Normal_ATM_vol,1Y6M,21.78,21.045,21.015,23.98,26.97,28.695,29.98,30.395,30.615,29.885,29.45,29.12,28.915,28.915
Normal_ATM_vol,20Y,29.195,28.205,28.17,27.38,26.685,26.63,26.21,25.815,25.125,23.81,23.25,23.12,22.98,22.98
Normal_ATM_vol,2M,11.29,10.905,10.895,13.65,18.685,21.96,25.105,26.24,26.85,27.03,27.325,27.56,27.76,27.76
Normal_ATM_vol,2Y,25.145,24.29,24.26,26.645,28.88,30.335,31.18,31.475,31.61,30.605,29.975,29.575,29.29,29.29
Normal_ATM_vol,30Y,20.275,19.59,19.565,23.5,23.23,23.155,22.935,22.86,22.775,22.07,21.74,21.35,20.78,20.78
Normal_ATM_vol,3M,11.89,11.49,11.475,14.45,19.125,22.635,25.36,26.815,27.4,27.62,27.835,27.985,28.155,28.155
Normal_ATM_vol,3Y,31.83,30.75,30.71,30.95,32.135,32.305,32.705,32.695,32.695,31.385,30.45,29.955,29.73,29.73
Normal_ATM_vol,5Y,36.325,35.095,35.05,34.755,34.335,34.355,34.285,33.865,33.35,31.585,30.315,29.885,29.63,29.63
Normal_ATM_vol,6M,13.78,13.31,13.295,17.005,21.605,24.365,26.63,27.755,28.3,28.375,28.335,28.38,28.38,28.38
Normal_ATM_vol,7Y,36.74,35.495,35.45,34.7,34.62,34.535,34.325,33.715,32.935,30.8,29.595,29.17,28.885,28.885
Normal_ATM_vol,9M,16.1,15.555,15.535,19.165,23.335,25.71,27.705,28.535,28.96,28.77,28.63,28.525,28.46,28.46
Rho,10Y,-0.16,-0.16,-0.16,-0.16,-0.18,-0.19,-0.21,-0.23,-0.24,-0.25,-0.26,-0.26,-0.28,-0.28
Rho,15Y,-0.15,-0.15,-0.15,-0.15,-0.17,-0.18,-0.2,-0.22,-0.24,-0.24,-0.25,-0.26,-0.26,-0.26
Rho,1D,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,1M,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,1W,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,1Y,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.05,-0.06,-0.07,-0.08,-0.09,-0.1,-0.11,-0.11
Rho,1Y6M,-0.03,-0.03,-0.03,-0.03,-0.04,-0.05,-0.07,-0.08,-0.1,-0.11,-0.12,-0.12,-0.13,-0.13
Rho,20Y,-0.15,-0.15,-0.15,-0.15,-0.17,-0.17,-0.2,-0.21,-0.23,-0.24,-0.25,-0.25,-0.25,-0.25
Rho,2M,-0.14,-0.14,-0.14,-0.14,-0.13,-0.12,-0.12,-0.13,-0.14,-0.14,-0.14,-0.15,-0.15,-0.15
Rho,2Y,-0.03,-0.03,-0.03,-0.03,-0.05,-0.07,-0.1,-0.11,-0.12,-0.13,-0.14,-0.15,-0.16,-0.16
Rho,30Y,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
Rho,3M,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.07,-0.07,-0.08,-0.08,-0.08,-0.09,-0.09
Rho,3Y,-0.08,-0.08,-0.08,-0.08,-0.1,-0.11,-0.14,-0.15,-0.16,-0.18,-0.19,-0.19,-0.2,-0.2
Rho,5Y,-0.13,-0.13,-0.13,-0.13,-0.15,-0.17,-0.19,-0.2,-0.23,-0.23,-0.24,-0.25,-0.26,-0.26
Rho,6M,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.06,-0.06,-0.07,-0.08,-0.08,-0.09,-0.09
Rho,7Y,-0.15,-0.15,-0.15,-0.15,-0.17,-0.18,-0.2,-0.22,-0.23,-0.25,-0.26,-0.27,-0.28,-0.28
Rho,9M,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-0.06,-0.06,-0.08,-0.08,-0.09,-0.09,-0.09
Shift,10Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,15Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,1D,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,1M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,1W,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,1Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,1Y6M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,20Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,2M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,2Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,30Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,3M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,3Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,5Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,6M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,7Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,9M,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volvol,10Y,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3
Volvol,15Y,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Volvol,1D,1.21,1.21,1.21,1.21,1.17,1.17,1.25,1.3,1.36,1.35,1.33,1.32,1.3,1.3
Volvol,1M,1.21,1.21,1.21,1.21,1.17,1.17,1.25,1.3,1.36,1.35,1.33,1.32,1.3,1.3
Volvol,1W,1.21,1.21,1.21,1.21,1.17,1.17,1.25,1.3,1.36,1.35,1.33,1.32,1.3,1.3
Volvol,1Y,0.47,0.47,0.47,0.47,0.45,0.45,0.46,0.48,0.5,0.5,0.5,0.5,0.51,0.51
Volvol,1Y6M,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.44,0.44,0.45,0.45,0.45,0.45
Volvol,20Y,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27
Volvol,2M,1.02,1.02,1.02,1.02,1.01,1.04,1.12,1.16,1.22,1.21,1.2,1.19,1.18,1.18
Volvol,2Y,0.37,0.37,0.37,0.37,0.36,0.36,0.37,0.38,0.39,0.39,0.4,0.4,0.4,0.4
Volvol,30Y,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Volvol,3M,0.97,0.97,0.97,0.97,0.91,0.92,0.99,1.01,1.06,1.05,1.04,1.04,1.04,1.04
Volvol,3Y,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36,0.36,0.36
Volvol,5Y,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32
Volvol,6M,0.65,0.65,0.65,0.65,0.65,0.66,0.69,0.71,0.74,0.74,0.73,0.74,0.74,0.74
Volvol,7Y,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31
Volvol,9M,0.61,0.61,0.61,0.61,0.56,0.56,0.57,0.59,0.61,0.61,0.61,0.61,0.62,0.62
